key,x,y,z,downstream,initial_depth,manning_n,bankslope,bottomwidth,floodplainslope,shape,dens,porosity,oc,depth_sed,depth_sed_deep
r654,210224.92,162923.64,77.75,r655,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r655,210157.09,162912.25,77.64,r665,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r656,209313.68,163090.15,68.13,Outlet,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r657,209403.24,163045.97,69.37,r656,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r658,209490.44,163002.24,70.71,r657,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r659,209581.35,162960.85,72.51,r658,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r660,209662.74,162910.86,73.67,r659,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r661,209731.24,162838.97,74.51,r660,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r662,209801.84,162769.81,74.56,r661,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r663,209898.71,162765.72,75.37,r662,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r664,209991.85,162802.06,76.27,r663,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r665,210078.06,162851,77.28,r664,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r676,210906.35,162411.08,84.99,r677,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r677,210822.71,162401.12,84.2,r682,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r678,210547.83,162676.24,81.69,r679,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r679,210488.51,162756.74,80.97,r685,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r680,210607.27,162595.83,81.96,r678,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r681,210666.67,162515.38,82.8,r680,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r682,210737.41,162445.33,83.98,r681,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r683,210257.34,162924.64,78.06,r654,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r684,210348.77,162896.29,79.07,r683,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
r685,210428.64,162836.77,80.21,r684,0.3,0.035,0.2,0.3,200,TriangularReach,0.8,0.6,0.05,0.05,0.45
